CorePointId,PointName,CoreSourceId,EquipmentName
29739,热通道温度-过高,755002319,FT203-F06-后
29741,热通道温度-过高,755002321,FT203-F08-后
29743,热通道温度-过高,755002322,FT203-F09-后
29745,热通道温度-过高,755002315,FT203-F02-后
29747,热通道温度-过高,755002316,FT203-F03-后
29749,热通道温度-过高,755002318,FT203-F05-后
29751,热通道温度-过高,755002310,FT203-E16-后
29753,热通道温度-过高,755002312,FT203-E18-后
29755,热通道温度-过高,755002313,FT203-E19-后
29757,热通道温度-过高,755002306,FT203-E12-后
29759,热通道温度-过高,755002307,FT203-E13-后
29761,热通道温度-过高,755002309,FT203-E15-后
29763,热通道温度-过高,755002301,FT203-E07-后
29765,热通道温度-过高,755002302,FT203-E08-后
29767,热通道温度-过高,755002304,FT203-E10-后
29769,热通道温度-过高,755002296,FT203-E02-后
29771,热通道温度-过高,755002298,FT203-E04-后
29773,热通道温度-过高,755002299,FT203-E05-后
29775,热通道温度-过高,755002292,FT203-D13-后
29777,热通道温度-过高,755002293,FT203-D14-后
29779,热通道温度-过高,755002295,FT203-E01-后
29782,热通道温度-过高,755002287,FT203-D08-后
29783,热通道温度-过高,755002289,FT203-D10-后
29785,热通道温度-过高,755002290,FT203-D11-后
29787,热通道温度-过高,755002281,FT203-C16-后
29789,热通道温度-过高,755002284,FT203-C19-后
29791,热通道温度-过高,755002286,FT203-D02-后
29793,热通道温度-过高,755002276,FT203-C11-后
29795,热通道温度-过高,755002278,FT203-C13-后
29797,热通道温度-过高,755002279,FT203-C14-后
29799,热通道温度-过高,755002272,FT203-C07-后
29801,热通道温度-过高,755002273,FT203-C08-后
29803,热通道温度-过高,755002275,FT203-C10-后
29806,热通道温度-过高,755002267,FT203-C02-后
29807,热通道温度-过高,755002269,FT203-C04-后
29809,热通道温度-过高,755002270,FT203-C05-后
29811,热通道温度-过高,755002261,FT203-B15-后
29813,热通道温度-过高,755002264,FT203-B18-后
29815,热通道温度-过高,755002266,FT203-C01-后
29817,热通道温度-过高,755002256,FT203-B10-后
29819,热通道温度-过高,755002258,FT203-B12-后
29821,热通道温度-过高,755002259,FT203-B13-后
29823,热通道温度-过高,755002252,FT203-B06-后
29825,热通道温度-过高,755002253,FT203-B07-后
29827,热通道温度-过高,755002255,FT203-B09-后
29829,热通道温度-过高,755002247,FT203-B01-后
29831,热通道温度-过高,755002249,FT203-B03-后
29833,热通道温度-过高,755002250,FT203-B04-后
29835,热通道温度-过高,755002243,FT203-A16-后
29837,热通道温度-过高,755002244,FT203-A17-后
29839,热通道温度-过高,755002246,FT203-A19-后
29841,热通道温度-过高,755002238,FT203-A11-后
29843,热通道温度-过高,755002239,FT203-A12-后
29845,热通道温度-过高,755002241,FT203-A14-后
29847,热通道温度-过高,755002233,FT203-A06-后
29849,热通道温度-过高,755002235,FT203-A08-后
29851,热通道温度-过高,755002236,FT203-A09-后
29853,热通道温度-过高,755002229,FT203-A02-后
29855,热通道温度-过高,755002230,FT203-A03-后
29857,热通道温度-过高,755002232,FT203-A05-后
29859,热通道温度-过高,755002934,FT202-P19-后
29861,热通道温度-过高,755002936,FT202-P21-后
29863,热通道温度-过高,755002937,FT202-P22-后
29865,热通道温度-过高,755002930,FT202-P15-后
29867,热通道温度-过高,755002931,FT202-P16-后
29869,热通道温度-过高,755002933,FT202-P18-后
29871,热通道温度-过高,755002925,FT202-P10-后
29873,热通道温度-过高,755002926,FT202-P11-后
29875,热通道温度-过高,755002928,FT202-P13-后
29877,热通道温度-过高,755002920,FT202-P05-后
29879,热通道温度-过高,755002922,FT202-P07-后
29881,热通道温度-过高,755002923,FT202-P08-后
29883,热通道温度-过高,755002916,FT202-P01-后
29885,热通道温度-过高,755002917,FT202-P02-后
29887,热通道温度-过高,755002919,FT202-P04-后
29889,热通道温度-过高,755002911,FT202-N19-后
29891,热通道温度-过高,755002913,FT202-N21-后
29893,热通道温度-过高,755002914,FT202-N22-后
29895,热通道温度-过高,755002905,FT202-N13-后
29897,热通道温度-过高,755002908,FT202-N16-后
29899,热通道温度-过高,755002910,FT202-N18-后
29901,热通道温度-过高,755002900,FT202-N08-后
29903,热通道温度-过高,755002902,FT202-N10-后
29905,热通道温度-过高,755002903,FT202-N11-后
29907,热通道温度-过高,755002896,FT202-N04-后
29910,热通道温度-过高,755002897,FT202-N05-后
29911,热通道温度-过高,755002899,FT202-N07-后
29913,热通道温度-过高,755002891,FT202-M22-后
29915,热通道温度-过高,755002893,FT202-N01-后
29917,热通道温度-过高,755002894,FT202-N02-后
29919,热通道温度-过高,755002885,FT202-M16-后
29921,热通道温度-过高,755002888,FT202-M19-后
29923,热通道温度-过高,755002890,FT202-M21-后
29925,热通道温度-过高,755002880,FT202-M11-后
29927,热通道温度-过高,755002882,FT202-M13-后
29929,热通道温度-过高,755002883,FT202-M14-后
29931,热通道温度-过高,755002876,FT202-M07-后
29934,热通道温度-过高,755002877,FT202-M08-后
29935,热通道温度-过高,755002879,FT202-M10-后
29937,热通道温度-过高,755002871,FT202-M02-后
29939,热通道温度-过高,755002873,FT202-M04-后
29941,热通道温度-过高,755002874,FT202-M05-后
29943,热通道温度-过高,755002867,FT202-L19-后
29945,热通道温度-过高,755002868,FT202-L20-后
29947,热通道温度-过高,755002870,FT202-M01-后
29949,热通道温度-过高,755002862,FT202-L14-后
29951,热通道温度-过高,755002863,FT202-L15-后
29953,热通道温度-过高,755002865,FT202-L17-后
29955,热通道温度-过高,755002857,FT202-L09-后
29957,热通道温度-过高,755002859,FT202-L11-后
29959,热通道温度-过高,755002860,FT202-L12-后
29961,热通道温度-过高,755002853,FT202-L05-后
29963,热通道温度-过高,755002854,FT202-L06-后
29965,热通道温度-过高,755002856,FT202-L08-后
29967,热通道温度-过高,755002848,FT202-K23-后
29969,热通道温度-过高,755002850,FT202-L02-后
29972,热通道温度-过高,755002851,FT202-L03-后
29973,热通道温度-过高,755002843,FT202-K18-后
29975,热通道温度-过高,755002845,FT202-K20-后
29977,热通道温度-过高,755002847,FT202-K22-后
29979,热通道温度-过高,755002839,FT202-K14-后
29981,热通道温度-过高,755002840,FT202-K15-后
29983,热通道温度-过高,755002842,FT202-K17-后
29985,热通道温度-过高,755002834,FT202-K09-后
29987,热通道温度-过高,755002836,FT202-K11-后
29989,热通道温度-过高,755002837,FT202-K12-后
29991,热通道温度-过高,755002830,FT202-K05-后
29993,热通道温度-过高,755002831,FT202-K06-后
29995,热通道温度-过高,755002833,FT202-K08-后
29997,热通道温度-过高,755002825,FT202-J23-后
29999,热通道温度-过高,755002827,FT202-K02-后
30001,热通道温度-过高,755002828,FT202-K03-后
30003,热通道温度-过高,755002819,FT202-J17-后
30005,热通道温度-过高,755002820,FT202-J18-后
30007,热通道温度-过高,755002822,FT202-J20-后
30009,热通道温度-过高,755002814,FT202-J12-后
30011,热通道温度-过高,755002816,FT202-J14-后
30013,热通道温度-过高,755002817,FT202-J15-后
30015,热通道温度-过高,755002810,FT202-J08-后
30017,热通道温度-过高,755002811,FT202-J09-后
30019,热通道温度-过高,755002813,FT202-J11-后
30021,热通道温度-过高,755002805,FT202-J03-后
30023,热通道温度-过高,755002807,FT202-J05-后
30025,热通道温度-过高,755002808,FT202-J06-后
30027,热通道温度-过高,755002799,FT202-H15-后
30029,热通道温度-过高,755002800,FT202-H16-后
30031,热通道温度-过高,755002802,FT202-H18-后
30034,热通道温度-过高,755002794,FT202-H10-后
30035,热通道温度-过高,755002796,FT202-H12-后
30037,热通道温度-过高,755002797,FT202-H13-后
30039,热通道温度-过高,755002790,FT202-H06-后
30041,热通道温度-过高,755002791,FT202-H07-后
30043,热通道温度-过高,755002793,FT202-H09-后
30045,热通道温度-过高,755002785,FT202-H01-后
30047,热通道温度-过高,755002787,FT202-H03-后
30050,热通道温度-过高,755002788,FT202-H04-后
30051,热通道温度-过高,755002780,FT202-F04-后
30053,热通道温度-过高,755002782,FT202-F21-后
30055,热通道温度-过高,755002784,FT202-G21-后
30057,热通道温度-过高,755002776,FT202-E21-后
30059,热通道温度-过高,755002777,FT202-F01-后
30061,热通道温度-过高,755002779,FT202-F03-后
30063,热通道温度-过高,755002771,FT202-E01-后
30065,热通道温度-过高,755002773,FT202-E03-后
30067,热通道温度-过高,755002774,FT202-E04-后
30069,热通道温度-过高,755002767,FT202-D20-后
30071,热通道温度-过高,755002768,FT202-D21-后
30073,热通道温度-过高,755002770,FT202-D23-后
30075,热通道温度-过高,755002762,FT202-D15-后
30077,热通道温度-过高,755002764,FT202-D17-后
30079,热通道温度-过高,755002765,FT202-D18-后
30081,热通道温度-过高,755002757,FT202-D10-后
30083,热通道温度-过高,755002759,FT202-D12-后
30085,热通道温度-过高,755002760,FT202-D13-后
30087,热通道温度-过高,755002753,FT202-D06-后
30089,热通道温度-过高,755002754,FT202-D07-后
30091,热通道温度-过高,755002756,FT202-D09-后
30093,热通道温度-过高,755002748,FT202-D01-后
30095,热通道温度-过高,755002750,FT202-D03-后
30097,热通道温度-过高,755002751,FT202-D04-后
30099,热通道温度-过高,755002744,FT202-C18-后
30101,热通道温度-过高,755002745,FT202-C19-后
30103,热通道温度-过高,755002747,FT202-C21-后
30105,热通道温度-过高,755002737,FT202-C11-后
30107,热通道温度-过高,755002739,FT202-C13-后
30109,热通道温度-过高,755002742,FT202-C16-后
30111,热通道温度-过高,755002733,FT202-C07-后
30113,热通道温度-过高,755002734,FT202-C08-后
30115,热通道温度-过高,755002736,FT202-C10-后
30117,热通道温度-过高,755002728,FT202-C02-后
30119,热通道温度-过高,755002730,FT202-C04-后
30121,热通道温度-过高,755002731,FT202-C05-后
30123,热通道温度-过高,755002724,FT202-B21-后
30125,热通道温度-过高,755002725,FT202-B22-后
30127,热通道温度-过高,755002727,FT202-C01-后
30129,热通道温度-过高,755002717,FT202-B14-后
30131,热通道温度-过高,755002719,FT202-B16-后
30133,热通道温度-过高,755002722,FT202-B19-后
30135,热通道温度-过高,755002713,FT202-B10-后
30137,热通道温度-过高,755002714,FT202-B11-后
30139,热通道温度-过高,755002716,FT202-B13-后
30141,热通道温度-过高,755002708,FT202-B05-后
30143,热通道温度-过高,755002710,FT202-B07-后
30145,热通道温度-过高,755002711,FT202-B08-后
30147,热通道温度-过高,755002704,FT202-B01-后
30149,热通道温度-过高,755002705,FT202-B02-后
30151,热通道温度-过高,755002707,FT202-B04-后
30153,热通道温度-过高,755002699,FT202-A19-后
30155,热通道温度-过高,755002701,FT202-A21-后
30157,热通道温度-过高,755002702,FT202-A22-后
30159,热通道温度-过高,755002694,FT202-A14-后
30162,热通道温度-过高,755002696,FT202-A16-后
30163,热通道温度-过高,755002697,FT202-A17-后
30165,热通道温度-过高,755002690,FT202-A10-后
30167,热通道温度-过高,755002691,FT202-A11-后
30169,热通道温度-过高,755002693,FT202-A13-后
30171,热通道温度-过高,755002685,FT202-A05-后
30173,热通道温度-过高,755002687,FT202-A07-后
30175,热通道温度-过高,755002688,FT202-A08-后
30177,冷通道温度-过高,755000618,FT202-L13-下
30179,冷通道温度-过高,755000620,FT202-L14-下
30181,冷通道温度-过高,755000621,FT202-L15-上
30183,冷通道温度-过高,755000623,FT202-L16-上
30185,冷通道温度-过高,755000624,FT202-L16-下
30187,冷通道温度-过高,755000626,FT202-L17-下
30189,冷通道温度-过高,755000627,FT202-L18-上
30191,冷通道温度-过高,755000629,FT202-L19-上
30193,冷通道温度-过高,755000630,FT202-L19-下
30195,冷通道温度-过高,755000593,FT202-L1-上
30197,冷通道温度-过高,755000632,FT202-L20-下
30199,冷通道温度-过高,755000633,FT202-L21-上
30201,冷通道温度-过高,755000595,FT202-L2-上
30203,冷通道温度-过高,755000598,FT202-L3-下
30205,冷通道温度-过高,755000600,FT202-L4-下
30207,冷通道温度-过高,755000601,FT202-L5-上
30209,冷通道温度-过高,755000603,FT202-L6-上
30211,冷通道温度-过高,755000604,FT202-L6-下
30213,冷通道温度-过高,755000606,FT202-L7-下
30215,冷通道温度-过高,755000607,FT202-L8-上
30217,冷通道温度-过高,755000609,FT202-L9-上
30219,冷通道温度-过高,755000610,FT202-L9-下
30221,冷通道温度-过高,755000653,FT202-M10-上
30223,冷通道温度-过高,755000655,FT202-M11-上
30225,冷通道温度-过高,755000656,FT202-M11-下
30227,冷通道温度-过高,755000658,FT202-M12-下
30229,冷通道温度-过高,755000661,FT202-M14-上
30231,冷通道温度-过高,755000663,FT202-M15-上
30233,冷通道温度-过高,755000664,FT202-M15-下
30235,冷通道温度-过高,755000666,FT202-M16-下
30237,冷通道温度-过高,755000667,FT202-M17-上
30239,冷通道温度-过高,755000669,FT202-M18-上
30241,冷通道温度-过高,755000670,FT202-M18-下
30243,冷通道温度-过高,755000672,FT202-M19-下
30245,冷通道温度-过高,755000635,FT202-M1-上
30247,冷通道温度-过高,755000636,FT202-M1-下
30249,冷通道温度-过高,755000673,FT202-M20-上
30251,冷通道温度-过高,755000675,FT202-M21-上
30253,冷通道温度-过高,755000676,FT202-M21-下
30255,冷通道温度-过高,755000678,FT202-M22-下
30257,冷通道温度-过高,755000679,FT202-M23-上
30259,冷通道温度-过高,755000638,FT202-M2-下
30261,冷通道温度-过高,755000641,FT202-M4-上
30263,冷通道温度-过高,755000643,FT202-M5-上
30265,冷通道温度-过高,755000644,FT202-M5-下
30267,冷通道温度-过高,755000646,FT202-M6-下
30269,冷通道温度-过高,755000647,FT202-M7-上
30271,冷通道温度-过高,755000649,FT202-M8-上
30273,冷通道温度-过高,755000650,FT202-M8-下
30275,冷通道温度-过高,755000652,FT202-M9-下
30277,冷通道温度-过高,755000707,FT202-N10-上
30279,冷通道温度-过高,755000709,FT202-N11-上
30281,冷通道温度-过高,755000710,FT202-N11-下
30283,冷通道温度-过高,755000712,FT202-N12-下
30285,冷通道温度-过高,755000713,FT202-N13-上
30287,冷通道温度-过高,755000715,FT202-N14-上
30289,冷通道温度-过高,755000716,FT202-N14-下
30291,冷通道温度-过高,755000718,FT202-N15-下
30293,冷通道温度-过高,755000719,FT202-N16-上
30295,冷通道温度-过高,755000721,FT202-N17-上
30297,冷通道温度-过高,755000724,FT202-N18-下
30299,冷通道温度-过高,755000726,FT202-N19-下
30301,冷通道温度-过高,755000689,FT202-N1-上
30303,冷通道温度-过高,755000690,FT202-N1-下
30305,冷通道温度-过高,755000727,FT202-N20-上
30307,冷通道温度-过高,755000729,FT202-N21-上
30309,冷通道温度-过高,755000730,FT202-N21-下
30311,冷通道温度-过高,755000681,FT202-N22-上
30313,冷通道温度-过高,755000683,FT202-N23-上
30315,冷通道温度-过高,755000684,FT202-N23-下
30318,冷通道温度-过高,755000692,FT202-N2-下
30319,冷通道温度-过高,755000693,FT202-N3-上
30321,冷通道温度-过高,755000695,FT202-N4-上
30324,冷通道温度-过高,755000696,FT202-N4-下
30325,冷通道温度-过高,755000698,FT202-N5-下
30327,冷通道温度-过高,755000699,FT202-N6-上
30329,冷通道温度-过高,755000701,FT202-N7-上
30331,冷通道温度-过高,755000703,FT202-N8-上
30333,冷通道温度-过高,755000704,FT202-N8-下
30335,冷通道温度-过高,755000706,FT202-N9-下
30337,冷通道温度-过高,755000749,FT202-P10-上
30339,冷通道温度-过高,755000750,FT202-P10-下
30341,冷通道温度-过高,755000752,FT202-P11-下
30343,冷通道温度-过高,755000753,FT202-P12-上
30345,冷通道温度-过高,755000755,FT202-P13-上
30347,冷通道温度-过高,755000756,FT202-P13-下
30349,冷通道温度-过高,755000758,FT202-P14-下
30351,冷通道温度-过高,755000759,FT202-P15-上
30353,冷通道温度-过高,755000761,FT202-P16-上
30355,冷通道温度-过高,755000762,FT202-P16-下
30357,冷通道温度-过高,755000764,FT202-P17-下
30359,冷通道温度-过高,755000766,FT202-P18-下
30361,冷通道温度-过高,755000767,FT202-P19-上
30364,冷通道温度-过高,755000732,FT202-P1-下
30365,冷通道温度-过高,755000769,FT202-P20-上
30367,冷通道温度-过高,755000770,FT202-P20-下
30369,冷通道温度-过高,755000772,FT202-P21-下
30371,冷通道温度-过高,755000686,FT202-P22-下
30373,冷通道温度-过高,755000687,FT202-P23-上
30375,冷通道温度-过高,755000733,FT202-P2-上
30377,冷通道温度-过高,755000735,FT202-P3-上
30379,冷通道温度-过高,755000736,FT202-P3-下
30381,冷通道温度-过高,755000738,FT202-P4-下
30383,冷通道温度-过高,755000739,FT202-P5-上
